#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              1.2261              1.2261              0.0185  
forward:               0.1000              0.7389              1.9650              0.0242  
forward:               0.1500              0.4539              2.4189              0.0261  
forward:               0.2000              0.2826              2.7015              0.0272  
forward:               0.2500              0.1908              2.8922              0.0282  
forward:               0.3000              0.1210              3.0132              0.0289  
forward:               0.3500              0.0703              3.0835              0.0293  
forward:               0.4000              0.0365              3.1200              0.0297  
forward:               0.4500              0.0154              3.1354              0.0301  
forward:               0.5000             -0.0087              3.1266              0.0305  
forward:               0.5500             -0.1038              3.0228              0.0311  
forward:               0.6000             -0.2751              2.7477              0.0316  
forward:               0.6500             -0.4214              2.3264              0.0319  
forward:               0.7000             -0.5527              1.7736              0.0324  
forward:               0.7500             -0.6494              1.1242              0.0328  
forward:               0.8000             -0.7002              0.4240              0.0332  
forward:               0.8500             -0.7358             -0.3119              0.0335  
forward:               0.9000             -0.7595             -1.0713              0.0339  
forward:               0.9500             -0.7758             -1.8471              0.0341  
forward:               1.0000             -0.7764             -2.6235              0.0343  
backward:              1.0000              0.0000             -2.6235              0.0000  
backward:              0.9500              0.7742             -1.8493              0.0057  
backward:              0.9000              0.7750             -1.0743              0.0078  
backward:              0.8500              0.7626             -0.3117              0.0098  
backward:              0.8000              0.7307              0.4190              0.0115  
backward:              0.7500              0.7050              1.1240              0.0130  
backward:              0.7000              0.6480              1.7720              0.0146  
backward:              0.6500              0.5690              2.3410              0.0232  
backward:              0.6000              0.4538              2.7948              0.0242  
backward:              0.5500              0.3241              3.1189              0.0251  
